daerah,vote_jokowi,vote_prabowo,kategori
HALMAHERA BARAT,42787,21638,KABUPATEN/KOTA
HALMAHERA SELATAN,49066,71480,KABUPATEN/KOTA
HALMAHERA TENGAH,17481,12119,KABUPATEN/KOTA
HALMAHERA TIMUR,27385,21661,KABUPATEN/KOTA
HALMAHERA UTARA,70650,35615,KABUPATEN/KOTA
KEPULAUAN SULA,10782,38535,KABUPATEN/KOTA
KOTA TERNATE,32680,69532,KABUPATEN/KOTA
KOTA TIDORE KEPULAUAN,24978,37632,KABUPATEN/KOTA
PULAU MOROTAI,21260,18770,KABUPATEN/KOTA
PULAU TALIABU,13516,17384,KABUPATEN/KOTA
PAPUA,2363009,211032,PROVINSI
ASMAT,4223,0,KABUPATEN/KOTA
BIAK NUMFOR,65938,7154,KABUPATEN/KOTA
BOVEN DIGOEL,27873,3824,KABUPATEN/KOTA
DEIYAI,26366,6774,KABUPATEN/KOTA
DOGIYAI,49237,14217,KABUPATEN/KOTA
INTAN JAYA,73974,11311,KABUPATEN/KOTA
JAYAPURA,66011,17083,KABUPATEN/KOTA
JAYAWIJAYA,174681,495,KABUPATEN/KOTA
KEEROM,29305,11487,KABUPATEN/KOTA
KEPULAUAN YAPEN,4599,0,KABUPATEN/KOTA
KOTA JAYAPURA,86288,27941,KABUPATEN/KOTA
LANNY JAYA,187295,0,KABUPATEN/KOTA
MAMBERAMO RAYA,23761,904,KABUPATEN/KOTA
MAMBERAMO TENGAH,37592,0,KABUPATEN/KOTA
MAPPI,56500,3724,KABUPATEN/KOTA
MERAUKE,84484,26688,KABUPATEN/KOTA
MIMIKA,71371,16201,KABUPATEN/KOTA
NABIRE,67413,20926,KABUPATEN/KOTA
NDUGA,94214,0,KABUPATEN/KOTA
PANIAI,72588,27224,KABUPATEN/KOTA
PEGUNUNGAN BINTANG,99240,2165,KABUPATEN/KOTA
PUNCAK,106104,0,KABUPATEN/KOTA
PUNCAK JAYA,183671,0,KABUPATEN/KOTA
SARMI,18544,4076,KABUPATEN/KOTA
SUPIORI,12181,739,KABUPATEN/KOTA
TOLIKARA,230532,233,KABUPATEN/KOTA
WAROPEN,31760,2407,KABUPATEN/KOTA
YAHUKIMO,287829,5456,KABUPATEN/KOTA
YALIMO,89435,3,KABUPATEN/KOTA
PAPUA BARAT,437630,108924,PROVINSI
FAKFAK,26558,10665,KABUPATEN/KOTA
KAIMANA,20566,5309,KABUPATEN/KOTA
KOTA SORONG,75142,31058,KABUPATEN/KOTA
MANOKWARI,43192,12341,KABUPATEN/KOTA
MANOKWARI SELATAN,16496,965,KABUPATEN/KOTA
MAYBRAT,37446,1233,KABUPATEN/KOTA
PEGUNUNGAN ARFAK,32134,386,KABUPATEN/KOTA
RAJA AMPAT,27370,8869,KABUPATEN/KOTA
SORONG,46837,20997,KABUPATEN/KOTA
SORONG SELATAN,36132,6042,KABUPATEN/KOTA
TAMBRAUW,23862,1479,KABUPATEN/KOTA
TELUK BINTUNI,34931,7241,KABUPATEN/KOTA
TELUK WONDAMA,16964,2339,KABUPATEN/KOTA
KALIMANTAN UTARA,247352,105498,PROVINSI
BULUNGAN,54507,22987,KABUPATEN/KOTA
KOTA TARAKAN,70853,49365,KABUPATEN/KOTA
MALINAU,36119,7176,KABUPATEN/KOTA
NUNUKAN,77099,21458,KABUPATEN/KOTA
TANA TIDUNG,8774,4512,KABUPATEN/KOTA
+Luar Negeri,577637,223575,LUAR_NEGERI
"Abu Dhabi, Uni Emirat Arab",1124,1645,PPLN
"Abuja, Nigeria",1023,422,PPLN
"Addis Ababa, Ethiopia",109,42,PPLN
"Alger, Aljazair",477,264,PPLN
"Amman, Yordania",216,315,PPLN
"Ankara, Turki",278,553,PPLN
"Antananarivo, Madagaskar",52,32,PPLN
"Astana, Kazakhstan",48,14,PPLN
"Athena, Yunani",548,121,PPLN
"Baghdad, Irak",153,89,PPLN
"Baku, Azerbaijan",58,27,PPLN
"Bandar Seri Begawan, Brunei Darussalam",8051,3560,PPLN
"Bangkok, Thailand",1032,322,PPLN
"Beijing, Republik Rakyat Tiongkok",1458,327,PPLN
"Beirut, Lebanon",110,61,PPLN
"Beograd, Serbia",59,17,PPLN
"Berlin, Jerman",1384,429,PPLN
"Bern, Swiss",760,175,PPLN
"Bogota, Kolombia",62,9,PPLN
"Brasilia, Brasil",154,20,PPLN
"Bratislava, Slowakia",45,12,PPLN
"Brussels, Belgia",806,175,PPLN
"Bucharest, Rumania",112,11,PPLN
"Budapest, Hongaria",227,89,PPLN
"Buenos Aires, Argentina",124,20,PPLN
"Canberra, Australia",582,173,PPLN
"Cape Town, Afrika Selatan",77,35,PPLN
"Caracas, Venezuela",51,20,PPLN
"Chicago, Amerika Serikat",1180,134,PPLN
"Colombo, Sri Langka",298,59,PPLN
"Dakar, Senegal",188,201,PPLN
"Damascus, Suriah",48,83,PPLN
"Dar-Es Salaam, Tanzania",67,9,PPLN
"Darwin, Australia",507,110,PPLN
"Davao City, Filipina",542,435,PPLN
"Den Haag, Belanda",5247,1090,PPLN
"Dhaka, Bangladesh",143,73,PPLN
"Dili, Timor Leste",2739,578,PPLN
"Doha, Qatar",1494,2632,PPLN
"Dubai, Uni Emirat Arab",1738,1147,PPLN
"Frankfurt, Jerman",4353,796,PPLN
"Guangzhou, Tiongkok",1789,167,PPLN
"Hamburg, Jerman",1568,439,PPLN
"Hanoi, Vietnam",161,63,PPLN
"Harare, Zimbabwe",163,56,PPLN
"Havana, Kuba",63,18,PPLN
"Helsinki, Finlandia",344,64,PPLN
"Ho Chi Minh City, Vietnam",327,111,PPLN
"Hong Kong, Republik Rakyat Tiongkok",38945,5967,PPLN
"Houston, Amerika Serikat",2752,332,PPLN
"Islamabad, Pakistan",81,225,PPLN
"Istanbul, Turki",281,568,PPLN
"Jeddah, Arab Saudi",3821,9471,PPLN
"Johor Bahru, Malaysia",57012,39432,PPLN
"Kabul, Afganistan",18,13,PPLN
"Kairo, Mesir",1597,4739,PPLN
"Karachi, Pakistan",27,174,PPLN
"Khartoum, Sudan",160,646,PPLN
"Kiev, Ukrania",42,8,PPLN
"Kopenhagen, Denmark",440,76,PPLN
"Kota Kinabalu, Malaysia",71107,15542,PPLN
"Kuala Lumpur, Malaysia",60575,42947,PPLN
"Kuching, Malaysia",44992,26461,PPLN
"Kuwait City, Kuwait",1294,1177,PPLN
"Lima, Peru",64,15,PPLN
"Lisabon, Portugal",158,28,PPLN
"London, Inggris",2968,942,PPLN
"Los Angeles, Amerika Serikat",4270,316,PPLN
"Madrid, Spanyol",588,109,PPLN
"Manama, Bahrain",489,406,PPLN
"Manila, Filipina",1346,114,PPLN
"Maputo, Mozambik",77,32,PPLN
"Marseille, Perancis",372,95,PPLN
"Melbourne, Australia",7229,901,PPLN
"Mexico City, Mexico",110,26,PPLN
"Moskow, Rusia",404,149,PPLN
"Mumbai, India",210,90,PPLN
"Muscat, Oman",629,508,PPLN
"Nairobi, Kenya",340,108,PPLN
"New Delhi, India",176,106,PPLN
"New York, Amerika Serikat",4002,501,PPLN
"Noumea, Perancis",217,26,PPLN
"Osaka, Jepang",2066,1356,PPLN
"Oslo, Norwegia",512,116,PPLN
"Ottawa, Kanada",389,70,PPLN
"Panama City, Panama",69,25,PPLN
"Paramaribo, Suriname",213,89,PPLN
"Paris, Perancis",1546,266,PPLN
"Penang, Malaysia",23703,7987,PPLN
"Perth, Australia",3836,609,PPLN
"Phnom Penh, Kamboja",3018,202,PPLN
"Port Moresby, Papua Nugini",595,150,PPLN
"Praha, Republik Ceko",200,34,PPLN
"Pretoria, Afrika Selatan",100,41,PPLN
"Pyong Yang, Korea Utara",21,3,PPLN
"Quito, Ekuador",46,10,PPLN
"Rabat, Morocco",154,121,PPLN
"Riyadh, Arab Saudi",3576,5133,PPLN
"Roma, Italia",880,181,PPLN
"San Francisco, Amerika Serikat",2691,756,PPLN
"Sana'a, Yaman",161,1692,PPLN
"Santiago, Chile",99,24,PPLN
"Sarajevo, Bosnia-Herzegovina",4,1,PPLN
"Seoul, Korea Selatan",4797,2297,PPLN
"Shanghai, Republik Rakyat Tiongkok",2167,506,PPLN
"Singapura, Singapura",42011,5900,PPLN
"Sofia, Bulgaria",49,9,PPLN
"Songkhla, Thailand",152,142,PPLN
"Stockholm, Swedia",658,107,PPLN
"Suva, Fiji",235,117,PPLN
"Sydney, Australia",11665,1919,PPLN
"Taipei, Taiwan",71121,11172,PPLN
"Tashkent, Uzbekistan",51,18,PPLN
"Tawau, Sabah",36045,7637,PPLN
"Tehran, Iran",230,23,PPLN
"Tokyo, Jepang",5955,3534,PPLN
"Toronto, Kanada",1549,214,PPLN
"Tripoli, Libya",4,40,PPLN
"Tunis, Tunisia",66,66,PPLN
"Vancouver, Kanada",2089,197,PPLN
"Vanimo, Papua Nugini",456,236,PPLN
"Vatikan, Vatikan",1172,12,PPLN
"Vientiane, Laos",111,63,PPLN
"Warsawa, Polandia",226,121,PPLN
"Washington D.C., Amerika Serikat",1114,352,PPLN
"Wellington, Selandia Baru",2084,313,PPLN
"Wina, Austria",528,128,PPLN
"Windhoek, Namibia",102,33,PPLN
"Yangon, Myanmar",151,51,PPLN
"Zagreb, Kroasia",38,8,PPLN
