daerah,vote_jokowi,vote_prabowo,kategori
KOTA PALEMBANG,330381,522628,KABUPATEN/KOTA
KOTA PRABUMULIH,40593,71735,KABUPATEN/KOTA
LAHAT,72211,181138,KABUPATEN/KOTA
MUARA ENIM,123583,227483,KABUPATEN/KOTA
MUSI BANYUASIN,158978,203983,KABUPATEN/KOTA
MUSI RAWAS,98701,141262,KABUPATEN/KOTA
MUSI RAWAS UTARA,44191,77613,KABUPATEN/KOTA
OGAN ILIR,96397,143837,KABUPATEN/KOTA
OGAN KOMERING ILIR,207533,224047,KABUPATEN/KOTA
OGAN KOMERING ULU,51971,162003,KABUPATEN/KOTA
OGAN KOMERING ULU SELATAN,106665,116947,KABUPATEN/KOTA
OGAN KOMERING ULU TIMUR,183855,220690,KABUPATEN/KOTA
PENUKAL ABAB LEMATANG ILIR,45961,65235,KABUPATEN/KOTA
BENGKULU,582845,585598,PROVINSI
BENGKULU SELATAN,51416,47515,KABUPATEN/KOTA
BENGKULU TENGAH,34633,36749,KABUPATEN/KOTA
BENGKULU UTARA,106200,70423,KABUPATEN/KOTA
KAUR,39518,36333,KABUPATEN/KOTA
KEPAHIANG,40751,49029,KABUPATEN/KOTA
KOTA BENGKULU,87194,113282,KABUPATEN/KOTA
LEBONG,36191,29792,KABUPATEN/KOTA
MUKOMUKO,57237,51514,KABUPATEN/KOTA
REJANG LEBONG,69415,90522,KABUPATEN/KOTA
SELUMA,60290,60439,KABUPATEN/KOTA
LAMPUNG,2845798,1951645,PROVINSI
KOTA BANDAR LAMPUNG,258778,295940,KABUPATEN/KOTA
KOTA METRO,51868,46939,KABUPATEN/KOTA
LAMPUNG BARAT,101210,75949,KABUPATEN/KOTA
LAMPUNG SELATAN,373892,201425,KABUPATEN/KOTA
LAMPUNG TENGAH,490053,241103,KABUPATEN/KOTA
LAMPUNG TIMUR,415957,179326,KABUPATEN/KOTA
LAMPUNG UTARA,152967,203110,KABUPATEN/KOTA
MESUJI,85416,33926,KABUPATEN/KOTA
PESAWARAN,153388,110451,KABUPATEN/KOTA
PESISIR BARAT,46479,42805,KABUPATEN/KOTA
PRINGSEWU,149347,92225,KABUPATEN/KOTA
TANGGAMUS,165714,174884,KABUPATEN/KOTA
TULANG BAWANG,151512,70261,KABUPATEN/KOTA
TULANG BAWANG BARAT,105677,59754,KABUPATEN/KOTA
WAY KANAN,143540,123547,KABUPATEN/KOTA
KEPULAUAN BANGKA BELITUNG,495500,288097,PROVINSI
BANGKA,96963,75177,KABUPATEN/KOTA
BANGKA BARAT,71537,38003,KABUPATEN/KOTA
BANGKA SELATAN,68531,39349,KABUPATEN/KOTA
BANGKA TENGAH,63319,39166,KABUPATEN/KOTA
BELITUNG,77639,28211,KABUPATEN/KOTA
BELITUNG TIMUR,56462,15954,KABUPATEN/KOTA
KOTA PANGKALPINANG,61049,52237,KABUPATEN/KOTA
KEPULAUAN RIAU,548388,462666,PROVINSI
BINTAN,50422,36972,KABUPATEN/KOTA
KARIMUN,70333,59615,KABUPATEN/KOTA
KEPULAUAN ANAMBAS,17352,8997,KABUPATEN/KOTA
KOTA BATAM,285295,267188,KABUPATEN/KOTA
KOTA TANJUNGPINANG,62823,53064,KABUPATEN/KOTA
LINGGA,34239,20763,KABUPATEN/KOTA
NATUNA,27924,16067,KABUPATEN/KOTA
DKI JAKARTA,3269971,3057851,PROVINSI
JAKARTA BARAT,830191,611338,KABUPATEN/KOTA
JAKARTA PUSAT,333010,315164,KABUPATEN/KOTA
JAKARTA SELATAN,670875,721313,KABUPATEN/KOTA
JAKARTA TIMUR,855365,985329,KABUPATEN/KOTA
JAKARTA UTARA,571704,416426,KABUPATEN/KOTA
KEPULAUAN SERIBU,8826,8281,KABUPATEN/KOTA
JAWA BARAT,10729229,16044787,PROVINSI
BANDUNG,778856,1245820,KABUPATEN/KOTA
BANDUNG BARAT,358905,649894,KABUPATEN/KOTA
BEKASI,591107,1042051,KABUPATEN/KOTA
BOGOR,860384,2029779,KABUPATEN/KOTA
CIAMIS,298913,431938,KABUPATEN/KOTA
CIANJUR,461008,774195,KABUPATEN/KOTA
CIREBON,822615,449430,KABUPATEN/KOTA
GARUT,411887,1067391,KABUPATEN/KOTA
INDRAMAYU,704388,281587,KABUPATEN/KOTA
KARAWANG,584803,779480,KABUPATEN/KOTA
KOTA BANDUNG,620555,866384,KABUPATEN/KOTA
KOTA BANJAR,63027,55648,KABUPATEN/KOTA
KOTA BEKASI,617185,751461,KABUPATEN/KOTA
KOTA BOGOR,228194,399224,KABUPATEN/KOTA
KOTA CIMAHI,120182,213739,KABUPATEN/KOTA
KOTA CIREBON,103878,93136,KABUPATEN/KOTA
KOTA DEPOK,462228,615615,KABUPATEN/KOTA
KOTA SUKABUMI,61607,138644,KABUPATEN/KOTA
KOTA TASIKMALAYA,111781,314270,KABUPATEN/KOTA
KUNINGAN,252289,376175,KABUPATEN/KOTA
MAJALENGKA,346928,425010,KABUPATEN/KOTA
PANGANDARAN,164069,96966,KABUPATEN/KOTA
PURWAKARTA,156095,405926,KABUPATEN/KOTA
SUBANG,536458,392636,KABUPATEN/KOTA
SUKABUMI,400469,1011896,KABUPATEN/KOTA
SUMEDANG,309241,407784,KABUPATEN/KOTA
TASIKMALAYA,302177,728708,KABUPATEN/KOTA
JAWA TENGAH,16784716,4939445,PROVINSI
BANJARNEGARA,410309,171062,KABUPATEN/KOTA
BANYUMAS,790604,274621,KABUPATEN/KOTA
BATANG,395322,91918,KABUPATEN/KOTA
BLORA,446711,104236,KABUPATEN/KOTA
BOYOLALI,581027,94318,KABUPATEN/KOTA
BREBES,739374,318345,KABUPATEN/KOTA
CILACAP,774077,289229,KABUPATEN/KOTA
DEMAK,544970,161237,KABUPATEN/KOTA
GROBOGAN,732560,125038,KABUPATEN/KOTA
JEPARA,594646,114725,KABUPATEN/KOTA
KARANGANYAR,463481,114478,KABUPATEN/KOTA
KEBUMEN,545496,208921,KABUPATEN/KOTA
KENDAL,493114,134644,KABUPATEN/KOTA
KLATEN,646611,164739,KABUPATEN/KOTA
KOTA MAGELANG,56141,25267,KABUPATEN/KOTA
KOTA PEKALONGAN,138336,49916,KABUPATEN/KOTA
KOTA SALATIGA,94215,26523,KABUPATEN/KOTA
KOTA SEMARANG,779685,221026,KABUPATEN/KOTA
KOTA SURAKARTA,301627,65171,KABUPATEN/KOTA
KOTA TEGAL,97007,58796,KABUPATEN/KOTA
KUDUS,406424,123674,KABUPATEN/KOTA
MAGELANG,600718,230502,KABUPATEN/KOTA
PATI,696665,115859,KABUPATEN/KOTA
PEKALONGAN,447155,111641,KABUPATEN/KOTA
PEMALANG,592411,193375,KABUPATEN/KOTA
PURBALINGGA,420038,152639,KABUPATEN/KOTA
PURWOREJO,341564,121121,KABUPATEN/KOTA
REMBANG,320320,87960,KABUPATEN/KOTA
SEMARANG,536118,122906,KABUPATEN/KOTA
SRAGEN,485470,114424,KABUPATEN/KOTA
SUKOHARJO,424446,127162,KABUPATEN/KOTA
TEGAL,549486,320051,KABUPATEN/KOTA
TEMANGGUNG,412907,102081,KABUPATEN/KOTA
WONOGIRI,516053,94673,KABUPATEN/KOTA
WONOSOBO,409628,107167,KABUPATEN/KOTA
DAERAH ISTIMEWA YOGYAKARTA,1640789,735789,PROVINSI
BANTUL,426953,202150,KABUPATEN/KOTA
GUNUNGKIDUL,379533,116674,KABUPATEN/KOTA
KOTA YOGYAKARTA,178753,92060,KABUPATEN/KOTA
KULON PROGO,192468,92692,KABUPATEN/KOTA
SLEMAN,463082,232213,KABUPATEN/KOTA
JAWA TIMUR,16189282,8419928,PROVINSI
BANGKALAN,435872,317828,KABUPATEN/KOTA
BANYUWANGI,710891,273523,KABUPATEN/KOTA
BLITAR,636843,111038,KABUPATEN/KOTA
BOJONEGORO,560593,273457,KABUPATEN/KOTA
BONDOWOSO,213422,277080,KABUPATEN/KOTA
GRESIK,505738,252348,KABUPATEN/KOTA
JEMBER,891241,484795,KABUPATEN/KOTA
JOMBANG,615022,187427,KABUPATEN/KOTA
KEDIRI,814945,173277,KABUPATEN/KOTA
KOTA BATU,101321,35434,KABUPATEN/KOTA
KOTA BLITAR,73310,21019,KABUPATEN/KOTA
KOTA KEDIRI,143521,38904,KABUPATEN/KOTA
KOTA MADIUN,85012,34032,KABUPATEN/KOTA
KOTA MALANG,345127,167834,KABUPATEN/KOTA
KOTA MOJOKERTO,60722,24765,KABUPATEN/KOTA
KOTA PASURUAN,71354,54028,KABUPATEN/KOTA
KOTA PROBOLINGGO,84989,60556,KABUPATEN/KOTA
KOTA SURABAYA,1118411,479904,KABUPATEN/KOTA
LAMONGAN,515778,282348,KABUPATEN/KOTA
LUMAJANG,386336,265990,KABUPATEN/KOTA
MADIUN,333848,113478,KABUPATEN/KOTA
MAGETAN,286038,136383,KABUPATEN/KOTA
MALANG,1167760,382318,KABUPATEN/KOTA
MOJOKERTO,531163,165048,KABUPATEN/KOTA
NGANJUK,540441,131952,KABUPATEN/KOTA
NGAWI,424010,118764,KABUPATEN/KOTA
PACITAN,116009,230623,KABUPATEN/KOTA
PAMEKASAN,102652,529770,KABUPATEN/KOTA
PASURUAN,589334,378134,KABUPATEN/KOTA
PONOROGO,421365,166478,KABUPATEN/KOTA
PROBOLINGGO,427432,278120,KABUPATEN/KOTA
SAMPANG,192350,562610,KABUPATEN/KOTA
SIDOARJO,816047,349739,KABUPATEN/KOTA
SITUBONDO,202721,203949,KABUPATEN/KOTA
SUMENEP,242835,436379,KABUPATEN/KOTA
TRENGGALEK,351836,104756,KABUPATEN/KOTA
TUBAN,532824,195783,KABUPATEN/KOTA
TULUNGAGUNG,540169,120057,KABUPATEN/KOTA
BANTEN,2530608,4045338,PROVINSI
KOTA CILEGON,76408,177376,KABUPATEN/KOTA
KOTA SERANG,116045,264883,KABUPATEN/KOTA
KOTA TANGERANG,464468,561977,KABUPATEN/KOTA
KOTA TANGERANG SELATAN,410261,389123,KABUPATEN/KOTA
LEBAK,260262,489269,KABUPATEN/KOTA
PANDEGLANG,262599,442282,KABUPATEN/KOTA
SERANG,273296,646642,KABUPATEN/KOTA
TANGERANG,667269,1073786,KABUPATEN/KOTA
BALI,2342628,212586,PROVINSI
BADUNG,310859,23277,KABUPATEN/KOTA
BANGLI,149145,8926,KABUPATEN/KOTA
BULELENG,383343,46089,KABUPATEN/KOTA
GIANYAR,317623,12618,KABUPATEN/KOTA
JEMBRANA,151956,33363,KABUPATEN/KOTA
KARANGASEM,273709,20494,KABUPATEN/KOTA
KLUNGKUNG,118154,10485,KABUPATEN/KOTA
KOTA DENPASAR,336312,39319,KABUPATEN/KOTA
TABANAN,301527,18015,KABUPATEN/KOTA
NUSA TENGGARA BARAT,950480,2009305,PROVINSI
BIMA,43626,239782,KABUPATEN/KOTA
DOMPU,37869,104240,KABUPATEN/KOTA
KOTA BIMA,15637,75673,KABUPATEN/KOTA
KOTA MATARAM,91399,155968,KABUPATEN/KOTA
LOMBOK BARAT,106509,294459,KABUPATEN/KOTA
LOMBOK TENGAH,168949,420732,KABUPATEN/KOTA
LOMBOK TIMUR,280981,427499,KABUPATEN/KOTA
LOMBOK UTARA,70649,71090,KABUPATEN/KOTA
SUMBAWA,105203,170642,KABUPATEN/KOTA
