daerah,vote_jokowi,vote_prabowo,kategori
HALMAHERA SELATAN,49066,71480,KABUPATEN/KOTA
HALMAHERA TENGAH,17481,12119,KABUPATEN/KOTA
HALMAHERA TIMUR,27385,21661,KABUPATEN/KOTA
HALMAHERA UTARA,70650,35615,KABUPATEN/KOTA
KEPULAUAN SULA,10782,38535,KABUPATEN/KOTA
KOTA TERNATE,32680,69532,KABUPATEN/KOTA
KOTA TIDORE KEPULAUAN,24978,37632,KABUPATEN/KOTA
PULAU MOROTAI,21260,18770,KABUPATEN/KOTA
PULAU TALIABU,13516,17384,KABUPATEN/KOTA
PAPUA,2363009,211032,PROVINSI
ASMAT,4223,0,KABUPATEN/KOTA
BIAK NUMFOR,65938,7154,KABUPATEN/KOTA
BOVEN DIGOEL,27873,3824,KABUPATEN/KOTA
DEIYAI,26366,6774,KABUPATEN/KOTA
DOGIYAI,49237,14217,KABUPATEN/KOTA
INTAN JAYA,73974,11311,KABUPATEN/KOTA
JAYAPURA,66011,17083,KABUPATEN/KOTA
JAYAWIJAYA,174681,495,KABUPATEN/KOTA
KEEROM,29305,11487,KABUPATEN/KOTA
KEPULAUAN YAPEN,4599,0,KABUPATEN/KOTA
KOTA JAYAPURA,86288,27941,KABUPATEN/KOTA
LANNY JAYA,187295,0,KABUPATEN/KOTA
MAMBERAMO RAYA,23761,904,KABUPATEN/KOTA
MAMBERAMO TENGAH,37592,0,KABUPATEN/KOTA
MAPPI,56500,3724,KABUPATEN/KOTA
MERAUKE,84484,26688,KABUPATEN/KOTA
MIMIKA,71371,16201,KABUPATEN/KOTA
NABIRE,67413,20926,KABUPATEN/KOTA
NDUGA,94214,0,KABUPATEN/KOTA
PANIAI,72588,27224,KABUPATEN/KOTA
PEGUNUNGAN BINTANG,99240,2165,KABUPATEN/KOTA
PUNCAK,106104,0,KABUPATEN/KOTA
PUNCAK JAYA,183671,0,KABUPATEN/KOTA
SARMI,18544,4076,KABUPATEN/KOTA
SUPIORI,12181,739,KABUPATEN/KOTA
TOLIKARA,230532,233,KABUPATEN/KOTA
WAROPEN,31760,2407,KABUPATEN/KOTA
YAHUKIMO,287829,5456,KABUPATEN/KOTA
YALIMO,89435,3,KABUPATEN/KOTA
PAPUA BARAT,437630,108924,PROVINSI
FAKFAK,26558,10665,KABUPATEN/KOTA
KAIMANA,20566,5309,KABUPATEN/KOTA
KOTA SORONG,75142,31058,KABUPATEN/KOTA
MANOKWARI,43192,12341,KABUPATEN/KOTA
MANOKWARI SELATAN,16496,965,KABUPATEN/KOTA
MAYBRAT,37446,1233,KABUPATEN/KOTA
PEGUNUNGAN ARFAK,32134,386,KABUPATEN/KOTA
RAJA AMPAT,27370,8869,KABUPATEN/KOTA
SORONG,46837,20997,KABUPATEN/KOTA
SORONG SELATAN,36132,6042,KABUPATEN/KOTA
TAMBRAUW,23862,1479,KABUPATEN/KOTA
TELUK BINTUNI,34931,7241,KABUPATEN/KOTA
TELUK WONDAMA,16964,2339,KABUPATEN/KOTA
KALIMANTAN UTARA,247352,105498,PROVINSI
BULUNGAN,54507,22987,KABUPATEN/KOTA
KOTA TARAKAN,70853,49365,KABUPATEN/KOTA
MALINAU,36119,7176,KABUPATEN/KOTA
NUNUKAN,77099,21458,KABUPATEN/KOTA
TANA TIDUNG,8774,4512,KABUPATEN/KOTA
+Luar Negeri,577637,223575,PROVINSI
"Abu Dhabi, Uni Emirat Arab",1124,1645,KABUPATEN/KOTA
"Abuja, Nigeria",1023,422,KABUPATEN/KOTA
"Addis Ababa, Ethiopia",109,42,KABUPATEN/KOTA
"Alger, Aljazair",477,264,KABUPATEN/KOTA
"Amman, Yordania",216,315,KABUPATEN/KOTA
"Ankara, Turki",278,553,KABUPATEN/KOTA
"Antananarivo, Madagaskar",52,32,KABUPATEN/KOTA
"Astana, Kazakhstan",48,14,KABUPATEN/KOTA
"Athena, Yunani",548,121,KABUPATEN/KOTA
"Baghdad, Irak",153,89,KABUPATEN/KOTA
"Baku, Azerbaijan",58,27,KABUPATEN/KOTA
"Bandar Seri Begawan, Brunei Darussalam",8051,3560,KABUPATEN/KOTA
"Bangkok, Thailand",1032,322,KABUPATEN/KOTA
"Beijing, Republik Rakyat Tiongkok",1458,327,KABUPATEN/KOTA
"Beirut, Lebanon",110,61,KABUPATEN/KOTA
"Beograd, Serbia",59,17,KABUPATEN/KOTA
"Berlin, Jerman",1384,429,KABUPATEN/KOTA
"Bern, Swiss",760,175,KABUPATEN/KOTA
"Bogota, Kolombia",62,9,KABUPATEN/KOTA
"Brasilia, Brasil",154,20,KABUPATEN/KOTA
"Bratislava, Slowakia",45,12,KABUPATEN/KOTA
"Brussels, Belgia",806,175,KABUPATEN/KOTA
"Bucharest, Rumania",112,11,KABUPATEN/KOTA
"Budapest, Hongaria",227,89,KABUPATEN/KOTA
"Buenos Aires, Argentina",124,20,KABUPATEN/KOTA
"Canberra, Australia",582,173,KABUPATEN/KOTA
"Cape Town, Afrika Selatan",77,35,KABUPATEN/KOTA
"Caracas, Venezuela",51,20,KABUPATEN/KOTA
"Chicago, Amerika Serikat",1180,134,KABUPATEN/KOTA
"Colombo, Sri Langka",298,59,KABUPATEN/KOTA
"Dakar, Senegal",188,201,KABUPATEN/KOTA
"Damascus, Suriah",48,83,KABUPATEN/KOTA
"Dar-Es Salaam, Tanzania",67,9,KABUPATEN/KOTA
"Darwin, Australia",507,110,KABUPATEN/KOTA
"Davao City, Filipina",542,435,KABUPATEN/KOTA
"Den Haag, Belanda",5247,1090,KABUPATEN/KOTA
"Dhaka, Bangladesh",143,73,KABUPATEN/KOTA
"Dili, Timor Leste",2739,578,KABUPATEN/KOTA
"Doha, Qatar",1494,2632,KABUPATEN/KOTA
"Dubai, Uni Emirat Arab",1738,1147,KABUPATEN/KOTA
"Frankfurt, Jerman",4353,796,KABUPATEN/KOTA
"Guangzhou, Tiongkok",1789,167,KABUPATEN/KOTA
"Hamburg, Jerman",1568,439,KABUPATEN/KOTA
"Hanoi, Vietnam",161,63,KABUPATEN/KOTA
"Harare, Zimbabwe",163,56,KABUPATEN/KOTA
"Havana, Kuba",63,18,KABUPATEN/KOTA
"Helsinki, Finlandia",344,64,KABUPATEN/KOTA
"Ho Chi Minh City, Vietnam",327,111,KABUPATEN/KOTA
"Hong Kong, Republik Rakyat Tiongkok",38945,5967,KABUPATEN/KOTA
"Houston, Amerika Serikat",2752,332,KABUPATEN/KOTA
"Islamabad, Pakistan",81,225,KABUPATEN/KOTA
"Istanbul, Turki",281,568,KABUPATEN/KOTA
"Jeddah, Arab Saudi",3821,9471,KABUPATEN/KOTA
"Johor Bahru, Malaysia",57012,39432,KABUPATEN/KOTA
"Kabul, Afganistan",18,13,KABUPATEN/KOTA
"Kairo, Mesir",1597,4739,KABUPATEN/KOTA
"Karachi, Pakistan",27,174,KABUPATEN/KOTA
"Khartoum, Sudan",160,646,KABUPATEN/KOTA
"Kiev, Ukrania",42,8,KABUPATEN/KOTA
"Kopenhagen, Denmark",440,76,KABUPATEN/KOTA
"Kota Kinabalu, Malaysia",71107,15542,KABUPATEN/KOTA
"Kuala Lumpur, Malaysia",60575,42947,KABUPATEN/KOTA
"Kuching, Malaysia",44992,26461,KABUPATEN/KOTA
"Kuwait City, Kuwait",1294,1177,KABUPATEN/KOTA
"Lima, Peru",64,15,KABUPATEN/KOTA
"Lisabon, Portugal",158,28,KABUPATEN/KOTA
"London, Inggris",2968,942,KABUPATEN/KOTA
"Los Angeles, Amerika Serikat",4270,316,KABUPATEN/KOTA
"Madrid, Spanyol",588,109,KABUPATEN/KOTA
"Manama, Bahrain",489,406,KABUPATEN/KOTA
"Manila, Filipina",1346,114,KABUPATEN/KOTA
"Maputo, Mozambik",77,32,KABUPATEN/KOTA
"Marseille, Perancis",372,95,KABUPATEN/KOTA
"Melbourne, Australia",7229,901,KABUPATEN/KOTA
"Mexico City, Mexico",110,26,KABUPATEN/KOTA
"Moskow, Rusia",404,149,KABUPATEN/KOTA
"Mumbai, India",210,90,KABUPATEN/KOTA
"Muscat, Oman",629,508,KABUPATEN/KOTA
"Nairobi, Kenya",340,108,KABUPATEN/KOTA
"New Delhi, India",176,106,KABUPATEN/KOTA
"New York, Amerika Serikat",4002,501,KABUPATEN/KOTA
"Noumea, Perancis",217,26,KABUPATEN/KOTA
"Osaka, Jepang",2066,1356,KABUPATEN/KOTA
"Oslo, Norwegia",512,116,KABUPATEN/KOTA
"Ottawa, Kanada",389,70,KABUPATEN/KOTA
"Panama City, Panama",69,25,KABUPATEN/KOTA
"Paramaribo, Suriname",213,89,KABUPATEN/KOTA
"Paris, Perancis",1546,266,KABUPATEN/KOTA
"Penang, Malaysia",23703,7987,KABUPATEN/KOTA
"Perth, Australia",3836,609,KABUPATEN/KOTA
"Phnom Penh, Kamboja",3018,202,KABUPATEN/KOTA
"Port Moresby, Papua Nugini",595,150,KABUPATEN/KOTA
"Praha, Republik Ceko",200,34,KABUPATEN/KOTA
"Pretoria, Afrika Selatan",100,41,KABUPATEN/KOTA
"Pyong Yang, Korea Utara",21,3,KABUPATEN/KOTA
"Quito, Ekuador",46,10,KABUPATEN/KOTA
"Rabat, Morocco",154,121,KABUPATEN/KOTA
"Riyadh, Arab Saudi",3576,5133,KABUPATEN/KOTA
"Roma, Italia",880,181,KABUPATEN/KOTA
"San Francisco, Amerika Serikat",2691,756,KABUPATEN/KOTA
"Sana'a, Yaman",161,1692,KABUPATEN/KOTA
"Santiago, Chile",99,24,KABUPATEN/KOTA
"Sarajevo, Bosnia-Herzegovina",4,1,KABUPATEN/KOTA
"Seoul, Korea Selatan",4797,2297,KABUPATEN/KOTA
"Shanghai, Republik Rakyat Tiongkok",2167,506,KABUPATEN/KOTA
"Singapura, Singapura",42011,5900,KABUPATEN/KOTA
"Sofia, Bulgaria",49,9,KABUPATEN/KOTA
"Songkhla, Thailand",152,142,KABUPATEN/KOTA
"Stockholm, Swedia",658,107,KABUPATEN/KOTA
"Suva, Fiji",235,117,KABUPATEN/KOTA
"Sydney, Australia",11665,1919,KABUPATEN/KOTA
"Taipei, Taiwan",71121,11172,KABUPATEN/KOTA
"Tashkent, Uzbekistan",51,18,KABUPATEN/KOTA
"Tawau, Sabah",36045,7637,KABUPATEN/KOTA
"Tehran, Iran",230,23,KABUPATEN/KOTA
"Tokyo, Jepang",5955,3534,KABUPATEN/KOTA
"Toronto, Kanada",1549,214,KABUPATEN/KOTA
"Tripoli, Libya",4,40,KABUPATEN/KOTA
"Tunis, Tunisia",66,66,KABUPATEN/KOTA
"Vancouver, Kanada",2089,197,KABUPATEN/KOTA
"Vanimo, Papua Nugini",456,236,KABUPATEN/KOTA
"Vatikan, Vatikan",1172,12,KABUPATEN/KOTA
"Vientiane, Laos",111,63,KABUPATEN/KOTA
"Warsawa, Polandia",226,121,KABUPATEN/KOTA
"Washington D.C., Amerika Serikat",1114,352,KABUPATEN/KOTA
"Wellington, Selandia Baru",2084,313,KABUPATEN/KOTA
"Wina, Austria",528,128,KABUPATEN/KOTA
"Windhoek, Namibia",102,33,KABUPATEN/KOTA
"Yangon, Myanmar",151,51,KABUPATEN/KOTA
"Zagreb, Kroasia",38,8,KABUPATEN/KOTA
